episode,reward,acc,loss,reward_ma10,acc_ma10
193,-0.0500,0.4667,-0.2359,-0.1035,0.5429
194,0.1250,0.6500,-0.2147,-0.0825,0.5496
195,-0.0500,0.4545,-0.1783,-0.0725,0.5587
196,0.0500,0.3000,-0.1590,-0.0675,0.5364
197,0.0000,0.4000,-0.1141,-0.0525,0.5335
198,-0.0447,0.3158,-0.1012,-0.0370,0.4901
199,0.0500,0.4583,-0.0834,-0.0170,0.4843
200,0.1000,0.4839,-0.0763,0.0130,0.4759
201,-0.1500,0.5161,-0.0516,-0.0020,0.4598
202,-0.0862,0.5319,-0.0341,-0.0056,0.4577
203,-0.0500,0.5294,-0.0154,-0.0056,0.4640
204,-0.0500,0.4306,-0.0118,-0.0231,0.4421
205,-0.0400,0.6200,0.0018,-0.0221,0.4586
206,-0.1500,0.4918,0.0034,-0.0421,0.4778
207,-0.3000,0.5833,0.0125,-0.0721,0.4961
208,-0.1000,0.3600,0.0156,-0.0776,0.5005
209,0.2000,0.6250,0.0160,-0.0626,0.5172
210,-0.0500,0.5417,0.0161,-0.0776,0.5230
211,-0.1328,0.5690,0.0104,-0.0759,0.5283
212,-0.1000,0.6333,0.0079,-0.0773,0.5384
213,-0.0000,0.6000,0.0052,-0.0723,0.5455
214,-0.0167,0.5417,0.0057,-0.0689,0.5566
215,0.0429,0.6667,-0.0021,-0.0607,0.5612
216,0.0500,0.4531,-0.0024,-0.0407,0.5574
217,-0.3500,0.4510,-0.0019,-0.0457,0.5441
218,0.1000,0.4928,-0.0015,-0.0257,0.5574
219,0.0000,0.3571,0.0001,-0.0457,0.5306
220,0.1286,0.4571,-0.0029,-0.0278,0.5222
221,0.0125,0.5938,-0.0033,-0.0133,0.5247
222,0.0045,0.5000,-0.0096,-0.0028,0.5113
223,0.1000,0.6471,-0.0109,0.0072,0.5160
224,-0.0500,0.7500,-0.0045,0.0038,0.5369
225,0.1500,0.8000,0.0045,0.0146,0.5502
226,0.0000,0.2105,0.0016,0.0096,0.5259
227,-0.1375,0.6875,0.0022,0.0308,0.5496
228,0.0905,0.6667,0.0027,0.0299,0.5670
229,-0.1500,0.5714,-0.0109,0.0149,0.5884
230,-0.1500,0.3750,-0.0195,-0.0130,0.5802
231,-0.1355,0.5652,-0.0173,-0.0278,0.5773
232,0.1500,0.5833,-0.0222,-0.0133,0.5857
233,0.0282,0.6479,-0.0313,-0.0204,0.5858
234,-0.1500,0.2273,-0.0390,-0.0304,0.5335
235,-0.0500,0.5000,-0.0361,-0.0504,0.5035
236,-0.1000,0.4000,-0.0404,-0.0604,0.5224
237,-0.0500,0.2273,-0.0312,-0.0517,0.4764
238,-0.0500,0.6000,-0.0551,-0.0657,0.4697
239,-0.3000,0.5000,-0.0528,-0.0807,0.4626
